Year,Author(s),Title,Publisher(s)
,Poul Anderson,The Boat of a Million Years,Tor Books
,Orson Scott Card,Prentice Alvin,Tor Books
,John Kessel,Good News From Outer Space,Tor Books
,Mike Resnick,Ivory: A Legend of Past and Future,Tor Books
,Jane Yolen,"Sister Light, Sister Dark",Tor Books
1991,Ursula K. Le Guin*,Tehanu: The Last Book of Earthsea,Macmillan Publishers
,Valerie Martin,Mary Reilly,Doubleday Foundation
,James K. Morrow,Only Begotten Daughter,Doubleday
,Dan Simmons,The Fall of Hyperion,William Morrow and Company
,John E. Stith,Redshift Rendezvous,Ace Books
,Jane Yolen,White Jenna,Tor Books
1992,Michael Swanwick*,Stations of the Tide,Asimov's Science Fiction
,John Barnes,Orbital Resonance,Tor Books
,Lois McMaster Bujold,Barrayar,Analog Science Fact & Fiction
,Emma Bull,Bone Dance,Ace Books
,Pat Cadigan,Synners,Bantam Spectra
,Bruce Sterling,The Difference Engine,Bantam Spectra
,William Gibson,,
1993,Connie Willis*,Doomsday Book,Bantam Spectra
,John Barnes,A Million Open Doors,Tor Books
,Karen Joy Fowler,Sarah Canary,Henry Holt and Company
,Maureen F. McHugh,China Mountain Zhang,Tor Books
,Vernor Vinge,A Fire Upon the Deep,Tor Books
,Jane Yolen,Briar Rose,Tor Books
1994,Kim Stanley Robinson*,Red Mars,Bantam Spectra
,Kevin J. Anderson,Assemblers of Infinity,Analog Science Fiction and Fact
,Doug Beason,,
,Algis Budrys,Hard Landing,Fantasy & Science Fiction
,Nancy Kress,Beggars in Spain,Morrow AvoNova
,Gene Wolfe,Nightside the Long Sun,Tor Books
1995,Greg Bear*,Moving Mars,Tor Books
,Octavia E. Butler,Parable of the Sower,Four Walls Eight Windows
,Jonathan Lethem,"Gun, with Occasional Music",Harcourt Brace
,James K. Morrow,Towing Jehovah,Harcourt Brace
,Rachel Pollack,Temporary Agency,St. Martin's Press
,Kim Stanley Robinson,Green Mars,Bantam Spectra
,Roger Zelazny,A Night in the Lonesome October,Morrow AvoNova
1996,Robert J. Sawyer*,The Terminal Experiment,HarperPrism
,John Barnes,Mother of Storms,Tor Books
,Nancy Kress,Beggars and Choosers,Tor Books
,Paul Park,Celestis,Tor Books
,Walter Jon Williams,Metropolitan,HarperPrism
,Gene Wolfe,Calde of the Long Sun,Tor Books
1997,Nicola Griffith*,Slow River,Del Rey Books
,Nina Kiriki Hoffman,The Silent Strength of Stones,AvoNova
,Patricia A. McKillip,Winter Rose,Ace Books
,Tim Powers,Expiration Date,Tor Books
,Robert J. Sawyer,Starplex,Analog Science Fiction and Fact
,Neal Stephenson,The Diamond Age,Bantam Spectra
1998,Vonda N. McIntyre*,The Moon and the Sun,Pocket Books
,Lois McMaster Bujold,Memory,Baen Books
,Kate Elliott,King's Dragon,DAW Books
,George R. R. Martin,A Game of Thrones,Bantam Spectra
,Jack McDevitt,Ancient Shores,HarperPrism
,Walter Jon Williams,City on Fire,HarperPrism
,Connie Willis,Bellwether,Bantam Spectra
1999,Joe Haldeman*,Forever Peace,Ace Books
,Catherine Asaro,The Last Hawk,Tor Books
,Jack McDevitt,Moonfall,HarperPrism
,Harry Turtledove,How Few Remain,Del Rey Books
,Martha Wells,Death of the Necromancer,Avon
,Connie Willis,To Say Nothing of the Dog,Bantam Spectra
2000,Octavia E. Butler*,Parable of the Talents,Seven Stories Press
,Ken MacLeod,The Cassini Division,Tor Books
,George R. R. Martin,A Clash of Kings,Bantam Spectra
,Maureen F. McHugh,Mission Child,Avon Eos
,Sean Stewart,Mockingbird,Ace Books
,Vernor Vinge,A Deepness in the Sky,Tor Books
2001,Greg Bear*,Darwin's Radio,Del Rey Books
